INFO,,,,,,,ANALYSIS,,,KEY,
🖼️,Name,Season,Tags,Trigger,Effect,Enhancement,Description,Rank,Tier,,
,Butterfly,28,splash,Kill after 1.5s ADS,Dragonfly-like splash,0.1s ADS,terrible payoff for ADS + kill,180,F,,
,Bottomless Grief,13,reload,"Last guardian standing
Passive","Kills refill magazine
30 mag",N/A,mag increase never worth,181,F,,
,Kickstart,13,burst,Sprinting for 1.5s into slide,"15% damage, 0.8x charge for ?s",?s duration,boost awful and short,182,F,,
,Valiant Charge,20,utility,Blocking damage,80% lunge distance for 1s,?s duration,Eager better universally post-healing patch,183,F,,
,Duelist's Trance,15,utility,Sword kill,"60 guard stats, 60 charge until stowed",5 extra to all stats,60 charge never worth over Relentless,184,F,,
,Pulse Monitor,1,refill,Critical health,"50 handling, 0.95x ready/stow, mag refresh",Higher health,low health rotations are a gimmick,185,F,,
,Shattering Blade,6,burst,Heavy attack that fully depletes ammo,67% damage,N/A,awful damage return,186,F,,
,Sneak Bow,4,reload,Crouching,"? reload, 0.8x reload duration",? stability and reload,much worse than draw time,187,F,,
,Steady Hands,16,PvP,Weapon kill,"100 handling, 0.825x handling duration on all weapons for 8.5s",1s duration,PvP,188,F,,
,Killing Wind,11,PvP,Weapon kill,"20 range, 50 mobility, 40 handling for 5s",0.5s duration,PvP,189,G,,
,Shot Swap,19,PvP,"Weapon kill (2 each, 8 stacks)","100 ready/stow handling, ?x ready/stow duration, stack consumed on ready/stow",?,PvP,190,G,,
,Dynamic Sway Reduction,1,PvP,Holding down trigger,Scaling accuracy and stability,Faster scaling,PvP,191,G,,
,Zen Moment,1,PvP,Weapon hit (5 stacks),"-?% recoil, ?% flinch resistance per stack for 1s",5 stability,PvP,192,G,,
,Well-Rounded,17,PvP,Grenade or powered melee (2 stacks),"10-20 range, stability, handling for 15s",? stats,much better alternatives,193,G,,
,Headseeker,1,PvP,Dealing body damage,Precision multiplier up by 0.1175 for 0.55s,5 stability,PvP,194,G,,
,Firmly Planted,1,PvP,Crouching,"30 handling, -80% horizontal recoil",5 handling,PvP,195,G,,
,Gutshot Straight,18,PvP,ADS,"10-20% body damage, -20% ADS auto aim cone",-15% auto aim cone,PvP,196,G,,
,Fragile Focus,17,PvP,"Shields active
Reactivates 1s after above critical",20 range,0.5s faster recovery,PvP,197,G,,
,Threat Remover,24,PvP,12 pellets of shotgun hit,"? stability, ? handling, ? reload for ?s",10 pellets,stats useless after shot,198,G,,
,Iron Reach,13,PvP,Passive,"20 range, -20 stabililty",5 stability,PvP,199,G,,
,Transcendent Moment,27,PvP,"Arc, solar, or void weapon kill
Stasis or strand weapon kill
Transcendent","? stability and ? handling
? range and ? aim assist
Both bonuses active",?s duration,PvP,200,G,,
,Tilting at Windmills,16,utility,Blocking damage,-20% block movement penalty for ?s,?s duration,does effectively nothing,201,G,,
,No Distractions,7,PvP,ADS for 1s,35% flinch resist,ADS for 0.9s,PvP,202,G,,
,Air Assault,17,PvP,"Passive
Weapon kill","10 AE
30 AE for 5s",2 AE,PvP,203,G,,
,Delicate Tuning,28,PvP,50-0% heat,"Up to 22 range, ? handling, ?% accuracy cone (50% effect at 50%)",?,PvP,204,G,,
,To The Pain,24,PvP,"30 damage taken (10 stacks, removed on stow)",? handling and 2 aim assist per stack,"? handling
? aim assist",PvP,205,G,,
,Perfect Float,19,PvP,Damage dealt/received every 3s for 6s,"30 AE, 35% flinch resist for 10s","Damage every 3.5s
2s duration",PvP,206,G,,
,Barrel Constrictor,22,PvP,Weapon kill,20% tighter pellet spread for 7.5s,"5% tighter spread, 1s duration",PvP,207,G,,
,Moving Target,1,PvP,ADS,"10 aim assist, 2.5% lower ADS move speed penalty",1? aim assist,PvP,208,G,,
,Iron Gaze,11,PvP,Passive,"20 aim assist, -20 range",5 range,PvP,209,G,,
,Tunnel Vision,14,PvP,Kill-reload within 3.6s,"20 aim assist, -?% cone, ? handling for 5s",?s duration,PvP,210,G,,
,Closing Time,25,PvP,50-0% mag,"10-20 range, 10-20 handling, -5-10% cone",? more stats,PvP,211,G,,
,Hip-Fire Grip,1,PvP,Hipfire,"1.2x aim assist falloff, 15 aim assist, -30% accuracy cone, 25 stability",Stronger effect,PvP,212,G,,
,Encore,15,PvP,"Weapon kills (4 stacks, 2 for precision)","Up to 20 range, 32 stability, and -5% cone for 7s",0.5s duration,PvP,213,G,,
,Built to Blast,27,PvP,"Void Overshield, Frost Armor, or Woven Mail","30? stability, ? aim assist, ?% flinch resist lingering for ?s",?s duration,PvP,214,G,,
,Heating Up,14,PvP,Weapon kill (2 stacks),"Scales up to -25% cone, 30 stability, 40 recoil for 5.5s",1s duration,PvP,215,G,,
,Offhand Strike,19,PvP,Weapon kill,"1.45x falloff, 30 stability, -95% cone for 7s if hipfire",1s duration,PvP,216,G,,
,Under Pressure,1,PvP,<50% mag down to 0,"Scales up to -25% cone, 30 stability","-30% cone, ? stability",PvP,217,G,,
,Rangefinder,3,PvP,ADS,"10% zoom, 5% projectile speed",5 handling,PvP,218,G,,
,Opening Shot,1,PvP,"First shot, 3.1s ICD","25 range, 20 aim assist, -5% cone","5 aim assist, 5 range",PvP,219,G,,
,Eye of the Storm,7,PvP,156 down to critical health,"Scales up to 30 handling, -40% cone",5 stability,PvP,220,G,,
,Invisible Hand,21,PvP,"Missing multiple times within 2.5s
Removed 1s after hitting",25 stability for 2.5s,?s post-hit duration,PvP,221,G,,
,Iron Grip,11,PvP,Passive,"20 stability, -20 reload",5 reload,literally lowers reload,222,G,,
