Pantheon 2.0,,,,
,Name,Ren,P2,Notes
,Wendigo GL3,B,C,tier shift thanks to VS Chill Inhibitor
,Wicked Sister,S,A,tier shift thanks to VS Chill Inhibitor
ORIGIN TRAITS,Bray Legacy,N/A,B,"more concentration on a better ability, but still not potent"
,Dark Ether Reaper,N/A,A,"decent neutral option for overflow, can also fill DPS heavies"
,Photoinhibition,N/A,B,Shield Disorient + nerfed Under-Over = situationally decent
,Splicer Surge,N/A,C,decent reload buff for extremely committal weapons
,,,,
Season 25 launch,,,,
,Name,S24,S25,Notes
SHOTGUNS,Prophet of Doom,D,B,reprised perks
,Sojourner's Tale,D,C,reprised perks
,Deadlock,N/A,B,"pretty good general perks, just bad frame"
,Legato-11,N/A,C,usable as damage solar slug with niche alternative perks
,Scavenger's Fate,N/A,D,bad frame with awful left column and decent damage perks
,Dead Weight,S,A,almost identical to Until Its Return + no enhanced 12P
,Arcane Embrace,N/A,S,"new frame looks very promising, good perks"
SNIPERS,Omniscient Eye,F,A,great frame and excellent ammo + damage perks
,Veleda-F,N/A,S,free high QoL weaken
,Sovereignty,N/A,S,free high QoL weaken
,Mechabre,D,D,still mostly mediocre perks
FUSIONS,Zealot's Reward,E,S,best energy rapid-fire overall
,PLUG ONE.1,D,A,now gets Reconstruction + burst perks
,Glacioclasm,B,A,now gets Envious and Withering Gaze
BGLs,Ignition Code,B,B,significant perks didn't change
,Liturgy,N/A,S,Militia's with damage potential and Chill Clip
,Lost Signal,A,S,underrated Darkness energy build
,The Mountaintop,A,S,still a core movement option and excellent frame
,Martyr's Retribution,S,A,overrated perks over frame
GLAIVES,Albedo Wing,A,A,"some nice new perks, but nothing standout + bad frame"
,Rake Angle,N/A,S,"first kinetic slot glaive, has Chill Clip"
LMGs,Archon's Thunder,E,A,"much better perks overall, good general and Stasis synergy"
,Avalanche,B,A,enhanceable and more normal reserves
HGLs,Love and Death,C,B,rapid-fire buff
,Acosmic,B,A,"rapid-fire buff, better 2nd column"
,Wendigo GL3,A,B,rapid-fire buff
,Regnant,A,B,rapid-fire buff
,Bitter/Sweet,N/A,S,Envious Arsenal replacing Envious Assassin/ALH/Recon
,Wicked Sister,N/A,S,Envious Arsenal replacing Envious Assassin/ALH/Recon
SWORDS,Zephyr,B,A,enhanceable and has Attrition Orbs
ROCKETS,Tomorrow's Answer,B,S,Envious Arsenal + BnS potential to be very strong
,Heretic's Fervor,N/A,A,"good frame, but no Envious Arsenal or BnS"
LFRs,Mistral Lift,N/A,S,Envious/Recon + BnS adaptive burst
PRIMARIES,Anonymous Autumn,N/A,1,"replaced Brigand's Law, better perk diversity and frame"
,Yesterday's Question,N/A,1,"replaced Maahes HC4, has Vorpal over Frenzy"
,Maahes HC4,1,2,shifted down to make space for Yesterday's Question
,Gridskipper,N/A,2,"replaced Corrasion, has reload + survivability + splash"
,Accrued Redemption,N/A,1,Archer's Tempo + KT and other good splash perks
,Raconteur,1,2,"replaced Vengeful Whisper, shifted down to make space"
,,,,
Season 24,,,,
,Shotguns,,,
,Name,LF,TFS,Notes
,Perfect Paradox,N/A,S,best kinetic 12P shotgun
,Ded Gramarye IV,N/A,C,gimmicky add clear perks
,Fortissimo-11,B,C,kinetic bonus removal
,Someday,N/A,A,more forgiving Heritage
,Retrofuturist,A,B,"niche role, no 12P"
,Riiswalker,B,D,"niche role, no 12P"
,Hand in Hand,B,C,lacks 12P in current meta
,Seventh Seraph CQC-12,A,C,lacks 12P in current meta
,Compass Rose,C,B,"new perk pool, got Grave + 12P and enhanceable"
,Astral Horizon,B,E,overrated swap aggressives
,Deadpan Delivery,B,C,overrated swap aggressives
,Felwinter's Lie,C,E,overrated swap aggressives
,Found Verdict,C,D,overrated swap aggressives
,Mindbender's Ambition,B,E,overrated swap aggressives
,Ragnhild-D,B,D,overrated swap aggressives
,The Comedian,B,C,overrated swap aggressives
,"First In, Last Out",C,D,slugs less relevant
,Gunnora's Axe,C,D,slugs less relevant
,Sojourner's Tale,B,D,slugs less relevant
,Blasphemer,D,F,tiers extended
,Bonechiller,D,F,tiers extended
,Last Man Standing,D,E,tiers extended
,No Reprieve,D,E,tiers extended
,Prophet of Doom,C,D,tiers extended
,Reckless Endangerment,D,F,tiers extended
,The Inquisitor,D,F,tiers extended
,Toil and Trouble,D,F,tiers extended
,Wishbringer,D,F,tiers extended
,Without Remorse,A,B,tiers extended
,Xenoclast IV,A,B,tiers extended
,Nessa's Oblation,C,B,Tractor slug swapping
,,,,
,Snipers,,,
,Name,LF,TFS,Notes
,The Domino,N/A,F,almost no relevant perks
,Critical Anomaly,N/A,S,best champ sniper
,Bite of the Fox,C,D,kinetic bonus removal
,Defiance of Yasmin,B,D,kinetic bonus removal
,Eye of Sol,C,E,kinetic bonus removal
,Shepherd's Watch,C,E,kinetic bonus removal
,Silicon Neuroma,C,D,kinetic bonus removal
,Tranquility,B,D,kinetic bonus removal
,Embraced Identity,N/A,C,niche damage pick
,Father's Sins,B,D,overrated for Cascade
,1000 Yard Stare,D,F,tiers extended
,A Distant Pull,C,D,tiers extended
,Albruna-D,C,D,tiers extended
,Apostate,D,F,tiers extended
,Beloved,D,E,tiers extended
,Distant Tumulus,A,B,tiers extended
,Far Future,C,D,tiers extended
,Fugue-55,B,C,tiers extended
,Gallu RR3,D,E,tiers extended
,IKELOS_SR_v1.0.3,A,B,tiers extended
,Last Foray,C,D,tiers extended
,Locus Locutus,C,D,tiers extended
,Long Shadow,D,F,tiers extended
,Luna Regolith III,C,D,tiers extended
,Mechabre,C,D,tiers extended
,Mercurial Overreach,D,E,tiers extended
,Occluded Finality,C,D,tiers extended
,Omniscient Eye,D,F,tiers extended
,Persuader,D,E,tiers extended
,Sole Survivor,C,E,tiers extended
,Succession,S,A,tiers extended
,Succession (BRAVE version),S,A,tiers extended
,The Long Walk,C,D,tiers extended
,Thoughtless,C,D,tiers extended
,Twilight Oath,A,B,tiers extended
,Volta Bracket,C,D,tiers extended
,Widow's Bite,D,F,tiers extended
,,,,
,Fusions,,,
,Name,LF,TFS,Notes
,Scatter Signal,A,S,"damage focus, Critical Anomaly"
,Techeun Force,B,A,damage profile matches A tier
,Aurvandil FR6,C,E,tiers extended
,Coriolis Force,D,F,tiers extended
,Dream Breaker,C,E,tiers extended
,Exile's Curse,C,D,tiers extended
,Iota Draconis,C,E,tiers extended
,Likely Suspect,D,F,tiers extended
,Main Ingredient,D,F,tiers extended
,PLUG ONE.1,C,D,tiers extended
,Pressurized Precision,B,D,tiers extended
,Snorri FR5,D,E,tiers extended
,The Epicurean,D,F,tiers extended
,The Wizened Rebuke,C,E,tiers extended
,Timelines' Vertex,D,F,tiers extended
,Trinary System,D,F,tiers extended
,Zealot's Reward,D,E,tiers extended
,Iterative Loop,B,D,tiers extended
,Burden of Guilt,C,D,"tiers extended, Critical Anomaly"
,Deliverance,B,C,"tiers extended, Critical Anomaly"
,Riptide,S,S,versatile enough to stay
,Axial Lacuna,N/A,A,similar total and DPS to Cartesian
,,,,
,BGLs,,,
,Name,LF,TFS,Notes
,Martyr's Retribution,N/A,S,best BGL in the game
,Undercurrent,B,B,enhanceable
,Lost Signal,N/A,A,good DoT + origin trait
,Wild Style,D,B,"new perk pool, enhanceable"
,Deafening Whisper,B,C,tiers extended
,Empty Vessel,C,D,tiers extended
,Explosive Personality,A,B,tiers extended
,Harsh Language,B,C,tiers extended
,Ignition Code,A,B,tiers extended
,Lingering Dread,B,C,tiers extended
,Orewing's Maul,D,E,tiers extended
,Pardon Our Dust,B,C,tiers extended
,Prodigal Return,C,E,tiers extended
,The Militia's Birthright,A,B,tiers extended
,The Mountaintop (BRAVE version),S,A,tiers extended
,Truthteller,D,F,"tiers extended, awful new version"
,Salvager's Salvo,A,D,"tiers extended, CR nerf"
,Forbearance,S,A,"tiers extended, rocket sidearms"
,Forbearance (BRAVE version),S,A,"tiers extended, rocket sidearms"
,New Pacific Epitaph,A,C,"tiers extended, rocket sidearms"
,Tusk of the Boar,S,D,"tiers extended, rocket sidearms, Deconstruct nerf, CR nerf"
,Wilderflight,S,B,"tiers extended, worse than Wild Style"
,,,,
,Other specials,,,
,Forthcoming Deviance,N/A,S,excellent perks
,Chronophage,N/A,S,excellent perks + origin trait
,,,,
,LMGs,,,
,Name,LF,TFS,Notes
,Speleologist,N/A,A,best Incandescent LMG thanks to origin trait
,Pro Memoria,N/A,S,Demo + good damage perk
,Unwavering Duty,S,A,lack of universal appeal vs. S tier options
,Hammerhead (BRAVE version),S,A,no reload perk
,Archon's Thunder,C,E,tiers extended
,Chain of Command,A,B,tiers extended
,Circular Logic,C,D,tiers extended
,Eleatic Principle,D,F,tiers extended
,Planck's Stride,C,D,tiers extended
,Qua Xaphan V,B,C,tiers extended
,Qullim's Terminus,C,D,tiers extended
,Recurrent Impact,A,B,tiers extended
,Retrofit Escapade,B,C,tiers extended
,Seventh Seraph SAW,D,E,tiers extended
,Shattered Cipher,B,C,tiers extended
,Terminus Horizon,A,B,tiers extended
,THE SWARM,D,F,tiers extended
,Thermal Erosion,C,E,tiers extended
,,,,
,Swords,,,
,Name,LF,TFS,Notes
,Crown-Splitter,A,D,aggressive swords don't receive Pack
,Throne-Cleaver,A,D,aggressive swords don't receive Pack
,Temptation's Hook,D,F,awful impact
,Summum Bonum,N/A,S,"best solo damage sword, light attack only also good"
,False Idols,N/A,B,"decent Attrition option, lacks Whirlwind"
,Goldtusk,C,B,good total with Pack Hunter
,Geodetic HSm,B,A,higher than normal impact
,Half-Truths,A,D,many better Eager swords
,Ill Omen,N/A,A,solid Attrition option
,Abide the Return,B,C,tiers extended
,Chivalric Fire,D,F,tiers extended
,Double-Edged Answer,A,B,tiers extended
,Dragoncult Sickle,D,E,tiers extended
,Eternity's Edge,C,D,tiers extended
,Hero of Ages,D,E,tiers extended
,Just In Case,B,C,tiers extended
,Nasreddin,A,B,tiers extended
,Negative Space,A,B,tiers extended
,Night Terror,A,B,tiers extended
,Quickfang,D,E,tiers extended
,Razor's Edge,C,E,tiers extended
,Sola's Scar,D,E,tiers extended
,Steel Sybil Z-14,B,C,tiers extended
,Thin Precipice,D,F,tiers extended
,Zephyr,A,B,tiers extended
,Caretaker,A,D,Whirlwind buff
,Honor's Edge,B,D,Whirlwind buff
,,,,
,LFRs,,,
,Name,LF,TFS,Notes
,Scintillation,N/A,S,best-in-slot BnS adaptive
,Line in the Sand,N/A,B,decent BnS precision
,Suspectum-4fr,N/A,C,no ammo regen but P.I. precision
,Doomed Petitioner,S,A,Precision Instrument nerf
,Cataclysmic,S,A,tiers extended
,Corsair's Wrath,D,E,tiers extended
,Fire and Forget,B,C,tiers extended
,Laser Painter,C,D,tiers extended
,Reed's Regret,B,C,tiers extended
,Sailspy Pitchglass,C,D,tiers extended
,Taipan-4fr,B,C,tiers extended
,Tarantula,D,E,tiers extended
,Threaded Needle,C,D,tiers extended
,,,,
,Other heavies,,,
,Marsilion-C,B,A,surge matches Still Hunt
,Hullabaloo,B,A,enhanceable
,Crux Termination IV,A,S,enhanceable
,Faith-Keeper,N/A,A,good GM rocket
,Crowning Duologue,C,A,new perk pool
,,,,
,Primaries,,,
,Name,LF,TFS,Notes
,Veiled Threat,N/A,2,"replaced Rufus's Fury, 720 with better origin + StL + DM"
,No Hesitation,N/A,1,"replaced Abyss Defiant, better archetype + overall use"
,Vengeful Whisper,N/A,2,"replaced Accrued Redemption, does something different"
,Hush,N/A,2,"replaced Strident Whistle, better perk pool"
,Tyranny of Heaven,1,2,"replaced Tripwire Canary, shifted down because of new 1"
,Non-Denouement,N/A,1,"replaced Tyranny of Heaven, Voltshot > Incandescent"
,Warden's Law,N/A,1,added damage category
,Maahes HC4,N/A,1,added damage category
,Posterity,N/A,2,"replaced Nation of Beasts, better archetype + perks"
,Nullify,N/A,1,"replaced Oversoul Edict, insane perks + best archetype"
,Corrasion,N/A,2,"replaced Darkest Before, good origin + best archetype"
,Doom of Chelchis,1,2,"replaced Trustee, shifted down because of new 1"
,Timeworn Wayfarer,N/A,1,"replaced Doom of Chelchis, great perks + origin"
,Imminence,N/A,1,"replaced Adjudicator, better perks"
,Mykel's Reverence,1,2,"replaced Buzzard, higher uptime"
,Breachlight,N/A,1,"similar archetype to Mykel's, but better neutral perks"
,Multimach CCX,1,2,shifted down because of Imminence
,many weapons,N/A,N/A,removed champ stun-specific rolls
,,,,
,Exotic weapons,,,
,Name,LF,TFS,Notes
,Ergo Sum,N/A,A,"best-in-class non-Surrounded sword damage, strong neutral"
,Arbalest,B,D,better Radiant access + stronger Barrier options
,Wish-Ender,B,E,better Radiant access + stronger Barrier options
,Deterministic Chaos,F,E,can be used as a higher DPS Divinity for easy crit targets
,The Lament,C,F,"damage and healing nerf, cannot get Pack Hunter"
,Revision Zero,F,E,decent option for handling major burst
,Red Death Reformed,N/A,D,decent survivability option that lacks splash
,Necrochasm,C,E,doesn't scale well into endgame content
,Le Monarque,C,F,eclipsed by other higher lethality primaries
,Ager's Scepter,C,F,exotic specials are weak + primary buffs
,Euphony,N/A,C,good for total damage special ammo extension
,Microcosm,N/A,C,great day 1-style consistent damage option
,Izanagi's Burden,A,B,kinetic special nerf + other strong special exotics for DPS
,Monte Carlo,D,F,lackluster damage profile and irrelevant payoff
,Witherhoard,C,D,Lost Signal does almost the same job
,Quicksilver Storm,B,F,massive scaling and uptime nerf on grenades
,Edge of Action,B,E,No Hesitation does similar job without taking up exotic
,Lumina,A,B,No Hesitation does similar job without taking up exotic
,Anarchy,D,E,only used in speedrunning
,Leviathan's Breath,B,D,other higher total damage heavy options
,Eyes of Tomorrow,D,F,"overrated 4 kill refund perk, pretty clunky"
,Graviton Lance,A,C,overrated against Sunshot given lowman/solo usage
,Riskrunner,B,D,overrated DR potential and underrated range issues
,Dragon's Breath,A,C,"overrated total damage, other strong exotic heavies now"
,Conditional Finality,C,D,overrated Unstoppable capability + damage
,Osteo Striga,A,F,"poison ICD added, other strong kinetic splash weapons"
,Legend of Acrius,C,B,pretty strong DPS option for melee range
,Outbreak Perfected,D,C,"pulse buff, craftable, great for building Transcendence"
,Gjallarhorn,S,A,"rockets moving out of DPS meta, less relevant in GM meta"
,Cloudstrike,D,B,small sniper buff + good meta for it
,Khvostov 7G-0X,N/A,C,strong on-hit splash damage option
,Still Hunt,N/A,S,strongest DPS exotic of the last 2 years
,Merciless,A,C,too niche and exists in same slot as Still Hunt
,Hierarchy of Needs,C,E,underestimated setup time for disproportionate payoff
,Buried Bloodline,E,C,underrated last patch for survivability
,Final Warning,E,D,"underrated major burst potential, actually decent boss DPS"
,Polaris Lance,C,F,very underwhelming with lack of artifact support
,Malfeasance,A,C,Warden's Law is generally better without taking up exotic
,Coldheart,E,F,increased tier strictness
,Crimson,E,F,increased tier strictness
,Cryosthesia 77K,E,F,increased tier strictness
,Dead Messenger,C,D,increased tier strictness
,Deathbringer,E,F,increased tier strictness
,Divinity,B,C,increased tier strictness
,Heartshadow,D,E,increased tier strictness
,Prometheus Lens,E,F,increased tier strictness
,Rat King,D,F,increased tier strictness
,Ruinous Effigy,E,F,increased tier strictness
,Salvation's Grip,D,E,increased tier strictness
,Tarrabah,E,F,increased tier strictness
,The Huckleberry,E,F,increased tier strictness
,The Wardcliff Coil,D,E,increased tier strictness
,Thorn,E,F,increased tier strictness
,Ticuu's Divination,C,E,increased tier strictness
,Tommy's Matchbook,E,F,increased tier strictness
,Touch of Malice,E,F,increased tier strictness
,Traveler's Chosen,E,F,increased tier strictness
,Trinity Ghoul,A,B,increased tier strictness
,Two-Tailed Fox,E,F,increased tier strictness
,Verglas Curve,D,E,increased tier strictness
,Vex Mythoclast,E,F,increased tier strictness
,Vexcalibur,D,F,increased tier strictness
,Wavesplitter,E,F,increased tier strictness
,Xenophage,B,C,increased tier strictness
,,,,
,Origin traits,,,
,Name,LF,TFS,Notes
,Ambush,D,S,10% for 2s for free
,Cursed Thrall,A,S,best splash origin trait
,Crossing Over,D,C,decent handling + free small damage
,Sundering,D,C,decent in certain activities
,Disaster Plan,D,E,does almost nothing
,Gun and Run,D,E,does almost nothing
,Head Rush,F,E,does almost nothing
,Nadir Focus,D,E,does almost nothing
,Vanguard's Vindication,D,E,does almost nothing
,Nanotech Tracer Missiles,A,S,"free damage, slightly noticeable"
,Cast No Shadows,N/A,S,free Grave Robber
,Advanced Reflexes,C,D,handling only
,Hot Swap,C,D,handling only
,Dragon's Vengeance,B,D,hard to play around
,One Quiet Moment,C,E,hard to trigger if playing normally
,Bray Inheritance,S,B,less noticeable than expected
,Collective Purpose,N/A,D,mediocre effect
,Restoration Ritual,B,A,more noticeable than other B tier traits
,Rasputin's Arsenal,D,C,more noticeable than other D tier traits
,Radiolaria Transposer,N/A,S,more universal version of Cursed Thrall
,Häkke Breach Armaments,B,C,pretty niche
,Harmonic Resonance,B,C,pretty niche
,Dawning Surprise,C,D,relatively mediocre ability regen
,Noble Deeds,B,C,specific playstyle
,Tex Balanced Stock,C,D,very unlikely to trigger in PvE
,Unsated Hunger,C,D,very unlikely to trigger in PvE
,Explosive Pact,B,D,"very weak effect, annoying to fully stack"
,Alacrity,F,C,works solo
,Dealer's Choice,N/A,A,"works with Still Hunt, slightly better than Thresh at x2"
,,,,
,Perks,,,
,Name,LF,TFS,Notes
,Feeding Frenzy,D,E,2 kill to 50 reload is decent
,Air Trigger,N/A,B,aerial version of Field Prep
,Deconstruct,B,F,ammo refund patched
,Counterattack,D,G,awful to proc consistently
,Chaos Reshaped,N/A,S,best-in-slot sustained damage perk
,Headseeker,F,G,better than PvP-only perks
,Heal Clip,B,S,"buff to 100HP, insane utility on current weapon field"
,High Ground,E,C,buff to 3 stack + 25%
,Precision Instrument,E,C,buffed to 30% when enhanced
,Strategist,N/A,F,class ability regen not really needed
,Adrenaline Junkie,C,D,comparatively better than other 5 stack roam perks
,Killing Tally,A,B,Desperate Measures usually better
,Tilting at Windmills,E,H,does basically nothing
,Reverberation,N/A,H,does pretty much nothing on all weapon types
,Meganeura,N/A,G,Dragonfly not really relevant
,Trench Barrel,A,S,excellent with aggressive shotguns
,Auto-Loading Holster,A,B,"fallen out of meta vs. Envious, Reconstruction, etc."
,Demolitionist,S,A,grenade rotations and regen less relevant in sandbox
,Destabilizing Rounds,C,B,ICD reduced to 3s
,Archer's Tempo,C,B,individual scope reevaulation
,Relentless Strikes,B,S,interacts with Pack Hunter
,Whirlwind Blade,C,A,interacts with Pack Hunter
,Unrelenting,C,F,largely overshadowed by Heal Clip
,Triple Tap,B,C,largely phased out in current meta
,Field Prep,A,B,less relevant in current meta
,Overflow,B,C,less relevant in current meta
,Archer's Gambit,N/A,C,"massive draw time reduction, 4th column though"
,Pugilist,C,F,melee energy gains not really relevant
,Cascade Point,A,S,more relevant for burst
,Physic,N/A,C,"nerf to Restoration tier, still decent"
,Lasting Impression,C,G,overrated last patch
,Subsistence,B,C,overrated last patch
,Sword Logic,B,E,overrated last patch
,Wellspring,C,F,overrated last patch
,Threat Detector,C,F,overrated last patch for swapping
,Bipod,A,S,perk swap allows for 50% total increase
,Compulsive Reloader,D,E,post-buff 50 reload + scalar is easy to proc
,Collective Action,D,E,Prismatic subclass pickup generation
,Eddy Current,E,F,received QoL buffs
,Explosive Light,B,A,reevaluated neutral purpose (HGLs)
,Incandescent,C,A,"reevaluated, definitely better"
,Desperate Measures,B,A,reevaluated; best roam damage perk
,Dragonfly,C,D,silghtly underrated last patch
,Firing Line,B,C,slightly less relevant
,Cluster Bomb,D,E,slightly underrated damage increase
,To The Pain,N/A,G,some handling gain while doing damage
,Tap The Trigger,F,G,some use in PvE for StL weapons
,Adagio,E,G,tiers extended
,Air Assault,F,H,tiers extended
,Backup Plan,F,G,tiers extended
,Barrel Constrictor,F,H,tiers extended
,Beacon Rounds,F,G,tiers extended
,Blunt Execution Rounds,E,G,tiers extended
,Box Breathing,E,G,tiers extended
,Cornered,E,G,tiers extended
,Danger Zone,E,G,tiers extended
,Disruption Break,D,F,tiers extended
,Duelist's Trance,E,G,tiers extended
,Dynamic Sway Reduction,F,H,tiers extended
,Elemental Capacitor,D,G,tiers extended
,En Garde,D,G,tiers extended
,Encore,F,H,tiers extended
,Energy Transfer,D,G,tiers extended
,Ensemble,C,E,tiers extended
,Eye of the Storm,F,H,tiers extended
,Firmly Planted,F,H,tiers extended
,Flash Counter,D,G,tiers extended
,Fragile Focus,F,H,tiers extended
,Full Court,C,F,tiers extended
,Genesis,D,G,tiers extended
,Gutshot Straight,E,G,tiers extended
,Hatchling,D,F,tiers extended
,Heating Up,F,H,tiers extended
,High-Impact Reserves,D,G,tiers extended
,Hip-Fire Grip,F,H,tiers extended
,Immovable Object,D,F,tiers extended
,Invisible Hand,F,H,tiers extended
,Iron Gaze,F,H,tiers extended
,Iron Grip,F,H,tiers extended
,Iron Reach,F,H,tiers extended
,Magnificent Howl,D,G,tiers extended
,Moving Target,F,H,tiers extended
,No Distractions,F,H,tiers extended
,Offhand Strike,F,H,tiers extended
,Opening Shot,F,H,tiers extended
,Osmosis,D,G,tiers extended
,Perfect Float,F,H,tiers extended
,Permeability,D,G,tiers extended
,Perpetual Motion,D,G,tiers extended
,Quickdraw,D,F,tiers extended
,Rangefinder,F,H,tiers extended
,Shattering Blade,E,G,tiers extended
,Shield Disorient,E,G,tiers extended
,Shot Swap,E,G,tiers extended
,Slickdraw,D,F,tiers extended
,Slideways,D,G,tiers extended
,Steady Hands,D,G,tiers extended
,Successful Warm-Up,D,G,tiers extended
,Surplus,D,G,tiers extended
,Sympathetic Arsenal,D,G,tiers extended
,Target Lock,C,E,tiers extended
,Thresh,D,G,tiers extended
,Tireless Blade,D,G,tiers extended
,Tracking Module,D,G,tiers extended
,Tunnel Vision,F,H,tiers extended
,Turnabout,E,G,tiers extended
,Under Pressure,F,H,tiers extended
,Underdog,E,G,tiers extended
,Unstoppable Force,D,F,tiers extended
,Valiant Charge,E,G,tiers extended
,Well-Rounded,F,G,tiers extended
,Zen Moment,F,H,tiers extended
,Adaptive Munitions,C,E,tiers extended
,Ambitious Assassin,C,D,tiers extended
,Assassin's Blade,D,G,tiers extended
,Bottomless Grief,D,G,tiers extended
,Celerity,D,G,tiers extended
,Close to Melee,C,E,tiers extended
,Clown Cartridge,C,D,tiers extended
,Cold Steel,C,E,tiers extended
,Desperado,D,F,tiers extended
,Discord,C,E,tiers extended
,Explosive Head,B,C,tiers extended
,Grave Robber,C,D,tiers extended
,Harmony,D,E,tiers extended
,Headstone,C,D,tiers extended
,Kickstart,F,G,tiers extended
,Killing Wind,F,G,tiers extended
,Loose Change,E,F,tiers extended
,Master of Arms,D,E,tiers extended
,Mulligan,F,G,tiers extended
,Multikill Clip,D,E,tiers extended
,Outlaw,D,F,tiers extended
,Paracausal Affinity,C,D,tiers extended
,Pulse Monitor,E,G,tiers extended
,Rampage,D,E,tiers extended
,Redirection,D,F,tiers extended
,Replenishing Aegis,D,F,tiers extended
,Reversal of Fortune,F,G,tiers extended
,Sleight of Hand,E,F,tiers extended
,Slideshot,C,D,tiers extended
,Snapshot Sights,F,G,tiers extended
,Sneak Bow,E,G,tiers extended
,Surrounded,B,C,tiers extended
,Under-Over,D,E,tiers extended
,Vorpal Weapon,B,C,tiers extended
,Circle of Life,N/A,D,"tough competition in-slot, similar damage perks"
,Keep Away,E,F,underrated last patch
,Slice,C,D,underrated last patch
,Stats for All,E,E,underrated last patch
,Swashbuckler,C,D,underrated last patch
,Voltshot,B,A,underrated last patch
,Firefly,B,A,underrated reload + splash perk
,Full Auto Trigger System,E,F,underrated RoF increase on shotguns
,Threat Remover,N/A,F,useless since no ready handling until shot fired
,Kinetic Tremors,B,A,worthy of being next to other A tier perks
,,,,
,Fragments,,,
,Name,LF,TFS,Notes
,Echo of Cessation,B,F,
,Echo of Dilation,F,H,
,Echo of Domineering,E,G,
,Echo of Exchange,D,D,
,Echo of Expulsion,D,E,
,Echo of Harvest,B,E,
,Echo of Instability,B,C,
,Echo of Leeching,E,G,
,Echo of Obscurity,S,S,
,Echo of Persistence,A,A,
,Echo of Provision,C,D,
,Echo of Remnants,C,D,
,Echo of Reprisal,C,E,
,Echo of Starvation,S,S,
,Echo of Undermining,B,B,
,Echo of Vigilance,E,G,
,Ember of Ashes,A,E,
,Ember of Beams,F,G,
,Ember of Benevolence,S,S,
,Ember of Blistering,C,E,
,Ember of Char,C,C,
,Ember of Combustion,D,F,
,Ember of Empyrean,S,B,
,Ember of Eruption,D,F,
,Ember of Mercy,S,B,
,Ember of Resolve,D,E,
,Ember of Searing,A,B,
,Ember of Singeing,A,A,
,Ember of Solace,C,A,
,Ember of Tempering,D,G,
,Ember of Torches,S,S,
,Ember of Wonder,E,F,
,Facet of Awakening,N/A,B,
,Facet of Balance,N/A,C,
,Facet of Blessing,N/A,G,
,Facet of Bravery,N/A,C,
,Facet of Command,N/A,D,
,Facet of Courage,N/A,S,
,Facet of Dawn,N/A,C,
,Facet of Defiance,N/A,G,
,Facet of Devotion,N/A,D,
,Facet of Dominance,N/A,B,
,Facet of Generosity,N/A,D,
,Facet of Grace,N/A,E,
,Facet of Honor,N/A,C,
,Facet of Hope,N/A,D,
,Facet of Justice,N/A,F,
,Facet of Mending,N/A,E,
,Facet of Protection,N/A,B,
,Facet of Purpose,N/A,S,
,Facet of Ruin,N/A,C,
,Facet of Sacrifice,N/A,C,
,Facet of Solitude,N/A,B,
,Spark of Amplitude,B,C,
,Spark of Beacons,B,B,
,Spark of Brilliance,F,H,
,Spark of Discharge,B,C,
,Spark of Feedback,C,E,
,Spark of Focus,E,H,
,Spark of Frequency,F,G,
,Spark of Haste,F,H,
,Spark of Instinct,F,H,
,Spark of Ions,C,D,
,Spark of Magnitude,C,D,
,Spark of Momentum,F,H,
,Spark of Recharge,E,H,
,Spark of Resistance,A,A,
,Spark of Shock,B,D,
,Spark of Volts,F,H,
,Thread of Ascent,C,D,
,Thread of Binding,F,G,
,Thread of Continuity,A,C,
,Thread of Evolution,C,D,
,Thread of Finality,E,G,
,Thread of Fury,C,C,
,Thread of Generation,S,S,
,Thread of Isolation,B,B,
,Thread of Mind,B,E,
,Thread of Propagation,E,E,
,Thread of Rebirth,D,F,
,Thread of Transmutation,E,G,
,Thread of Warding,S,A,
,Thread of Wisdom,E,F,
,Whisper of Bonds,E,F,
,Whisper of Chains,A,D,
,Whisper of Chill,N/A,E,
,Whisper of Conduction,E,F,
,Whisper of Durance,A,B,
,Whisper of Fissures,B,C,
,Whisper of Fractures,E,D,
,Whisper of Hedrons,F,H,
,Whisper of Hunger,C,C,
,Whisper of Impetus,D,D,
,Whisper of Refraction,B,D,
,Whisper of Rending,C,D,
,Whisper of Reversal,N/A,H,
,Whisper of Rime,C,S,
,Whisper of Shards,A,A,
,Whisper of Torment,C,A,
,,,,
,Aspects,,,
,Name,LF,TFS,Notes
,Arc Soul,B,A,
,Ascension,N/A,D,
,Bastion,D,B,
,Chaos Accelerant,D,B,
,Child of the Old Gods,B,A,
,Consecration,A,S,
,Diamond Lance,E,C,
,Drengr's Lash,D,B,
,Ensnaring Slam,B,E,
,Feed the Void,A,S,
,Flechette Storm,F,D,
,Flow State,D,C,
,Glacial Harvest,D,C,
,Grim Harvest,C,B,
,Gunpowder Gamble,C,A,
,Heat Rises,S,B,
,Hellion,N/A,B,
,Howl of the Storm,C,E,
,Knockout,D,A,
,Lightning Surge,F,E,
,Mindspun Invocation,C,B,
,Offensive Bulwark,C,A,
,On Your Mark,D,C,
,Shatterdive,F,E,
,Stylish Executioner,B,S,
,The Wanderer,E,C,
,Threaded Specter,E,B,
,Touch of Thunder,C,B,
,Unbreakable,N/A,D,
,Vanishing Step,C,B,
,Weaver's Call,E,C,
,Weavewalk,E,C,
,Winter's Shroud,E,A,
