"WEAPON","","INFO","","","","PREFERENCE","","","PERKS","","","ROLE / NOTES","ANALYSIS","","SOURCE",""
"","Albedo Wing","Glaive","Energy","Arc","Aggressive","Tempered Truss
Auxiliary
Ballistic Tuning","Swap Mag
Accurized
Extended Mag","Handling
Range
Shield Duration","Closing Time
Replenishing Aegis
Grave Robber","Close To Melee
Golden Tricorn
Desperate Measures","Dawning Surprise
Hakke Breach Armaments","Stab em","","C","Tenet of Bravery","No"
"","Backfang","Glaive","Energy","Arc","Rapid-Fire","Tempered Truss
Auxiliary
Ballistic Tuning","Swap Mag
Accurized
Extended Mag","Handling
Range
Shield Duration","Impulse Amplifier
Tilting at Windmills
Melee Momentum
Mulligan","Unstoppable Force
Close To Melee
Vorpal Weapon
Swashbuckler
Surrounded","Gun and Run","Stab em
Good perks. Weak frame.","","B","Gambit / Drifter Vendor","No"
"","Ecliptic Distaff","Glaive","Energy","Void","Adaptive","Tempered Truss
Auxiliary
Ballistic Tuning","Swap Mag
Accurized
Extended Mag","Handling
Range
Shield Duration","Impulse Amplifier
Disruption Break
Tilting at Windmills
Repulsor Brace","Unstoppable Force
Withering Gaze
Close To Melee
Chaos Reshaped","Vanguard Determination
Noble Deeds","Stab em
Withering Gaze + Repulsor Brace for block->Weaken->Overshield combo.
Disruption Break increases melee damage/aids teamshots.","","S","Vanguard / Zavala Vendor","No"
"","The Heron","Glaive","Energy","Void","Aggressive","Tempered Truss
Auxiliary
Ballistic Tuning","Swap Mag
Accurized
Extended Mag","Handling
Range
Shield Duration","Disruption Break
Replenishing Aegis","Unstoppable Force
Close To Melee
Sword Logic","Nail, Meet Hammer","Stab em
Good frame, but no Impulse
Disruption Break for team shot/melee follow-up.","","B","Tenet of Bravery","No"
"","Rake Angle","Glaive","Kinetic","Stasis","Aggressive","Tempered Truss
Auxiliary
Ballistic Tuning","Swap Mag
Accurized
Extended Mag","Handling
Range
Shield Duration","Impulse Amplifier
","Chill Clip
Unstoppable Force
Close To Melee
Swashbuckler
Surrounded
Vorpal Weapon","Vanguard Determination
Hakke Breach Armaments
Problem Solver","""The 151st Chess King.""
Stab em
Generally regarded as the best glaive.
Chill Clip causes 60 slow, allowing for easy clean-up/punishes.
Vorpal vs. Supers","","S","Vanguard / Zavala Vendor","No"
"","Greasy Luck","Glaive","Energy","Solar","Rapid-Fire","Tempered Truss
Auxiliary
Ballistic Tuning","Swap Mag
Accurized
Extended Mag","Handling
Range
Shield Duration","Melee Momentum
Chaos Reshaped
Butterfly","Unstoppable Force
Close To Melee
Chain Reaction
Incandescent","Restoration Ritual","Stab em
Bad frame, mid perks.
Double AoE perks for AoE/Burn.
Origin gets little value with this weapon type.","","C","Ghosts of the Deep Dungeon","No"
"","Lubrae's Ruin","Glaive","Energy","Solar","Adaptive","Tempered Truss
Auxiliary
Ballistic Tuning","Swap Mag
Accurized
Extended Mag","Handling
Range
Shield Duration","Frenzy
Close To Melee
Tilting at Windmills","Unstoppable Force
Chaos Reshaped
Swashbuckler
Surrounded
Incandescent
Vorpal Weapon","Souldrinker","Stab em
Good frame, but no Impulse.
Double damage perks allow for very borderline one shots.
Origin gets little value on this weapon type.","","A","Vow of the Disciple Raid","Yes"
"","The Enigma","Glaive","Energy","Void","Adaptive","Tempered Truss
Auxiliary
Ballistic Tuning","Swap Mag
Accurized
Extended Mag","Handling
Range
Shield Duration","Impulse Amplifier
Threat Detector
Tilting at Windmills","Unstoppable Force
Close To Melee
Frenzy
Thresh","Psychohack","Stab em
Good frame, good perks.
Thresh for super gen.
Useless Origin trait in PvP.","","A","Witch Queen Campaign / Throne World","Yes"
"","Judgment of Kelgorath","Glaive","Energy","Solar","Aggressive","Tempered Truss
Auxiliary
Ballistic Tuning","Swap Mag
Accurized
Extended Mag","Handling
Range
Shield Duration","Tilting at Windmills
Genesis","Impulse Amplifier
Unstoppable Force
Close To Melee
Surrounded
Incandescent","Ambush
Hakke Breach Armaments","Stab em
Good frame, weak column 1 perks.
","","A","Operation: Seraph's Shield Legacy Loot
Modifier Classic Collections: ON","Yes"
"","Nezarec's Whisper","Glaive","Energy","Arc","Adaptive","Tempered Truss
Auxiliary
Ballistic Tuning","Swap Mag
Accurized
Extended Mag","Handling
Range
Shield Duration","Impulse Amplifier
Tilting at Windmills
Genesis","Unstoppable Force
Frenzy
Vorpal Weapon","Extrovert","Stab em
Good frame, good perks. Origin activates surrounded by 3 targets within 15 meters, kills/glaive melee kills restore 60 hp 0.25s after a kill.","","S","Presage
Legacy Loot
Modifier Classic Collections: ON","Yes"
"","Refusal of the Call (Pit of Heresy Variant)","Glaive","Kinetic","Strand","Adaptive","Tempered Truss
Auxiliary
Ballistic Tuning","Swap Mag
Accurized
Extended Mag","Handling
Range
Shield Duration","Impulse Amplifier
Slice
Close To Melee
Chain Reaction
Discord","Unstoppable Force
Mega Kill Clip
Chaos Reshaped
Aggregate Charge
Sword Logic
Desperate Measures","Willing Vessel
Heretical Behavior","Stab em
Good frame, great perks.
Good origin traits.
Mega Kill Clip increase damage to 191 per shot.
Slice can be applied via Glaive Melee.","","S","Pit of Heresy Dungeon","No"
"","Forthcoming Deviance","Glaive","Energy","Void","Rapid-Fire","Tempered Truss
Auxiliary
Ballistic Tuning","Swap Mag
Accurized
Extended Mag","Handling
Range
Shield Duration","Impulse Amplifier
Disruption Break
Repulsor Brace
Dimensional Shift","Unstoppable Force
Chaos Reshaped
Close To Melee
Chain Reaction
Destabilizing Rounds
Desperate Measures
Vorpal Weapon","Collective Purpose","Stab em
Bad frame, good perks.
Disruption Break for team play/melee followups
Origin provide range & handling near allies.
Void synergy.","","B","Salvation's Edge Raid","Yes"
"","Unexpected Resurgence","Glaive","Energy","Arc","Adaptive","Tempered Truss
Auxiliary
Ballistic Tuning","Swap Mag
Accurized
Extended Mag","Handling
Range
Shield Duration","Impulse Amplifier
Thresh
Tilting At Windmills","Impulse Amplifier
Unstoppable Force
Close To Melee
Swashbuckler
Surrounded
Frenzy
Vorpal Weapon","Alacrity
One Quiet Moment","Stab em
Only double Impulse Amplifier Glaive to ever exist.
Large list of good column 2 perks.","","S","Unobtainable (Trials Discontinued)","No"
"","Refusal of the Call (Episode: Heresy / Xur Variant)","Glaive","Kinetic","Strand","Adaptive","Tempered Truss
Auxiliary
Ballistic Tuning","Swap Mag
Accurized
Extended Mag","Handling
Range
Shield Duration","Impulse Amplifier
Slice
Tilting At Windmills
Discord","Disruption Break
Unstoppable Force
Close To Melee
Melee Momentum
Sword Logic
Vorpal Weapon","Willing Vessel
Runneth Over","Stab em
Good frame, great perks.
Good origin traits.
Only Impulse + Disruption Break Glaive.
Slice can be applied via Glaive Melee.","","S","Currently only available via chance at Xur Only","No"
"","Aureus Neutralizer","Hand Cannon","Kinetic","Kinetic","Spread Shot","Corkscrew
Barrelshroud
Smallbore","Accurized","Range
Handling","Threat Detector
Lone Wolf
Vorpal Weapon
Barrel Constrictor","Trench Barrel
Opening Shot
Closing Time
One-Two Punch
Cascade Point
Desperate Measures
","Fleet Footed
Roar of Battle
Hakke Breach Armaments","Primary ammo ""sawed off"" shotgun frame.
Best-in-Class stat package, perk options, and origin traits.
Trench Barrel for ease of use.
Vorpal/Trench vs. supers.
Opening Shot for distance.
Cascade Point TtK shift = 0.60->0.36!!!","","S","Trials of Osiris / Saint-14 Vendor","No"
"","Austringer","Hand Cannon","Kinetic","Kinetic","Adaptive","Hammer-forged
Smallbore
Corkscrew","Ricochet Rounds","Range","Eye of the Storm","Rangefinder
Zen Moment
Opening Shot","To Excess","Consistency HC.","","A","Presage Legacy Loot
Modifier Classic Collections: ON","Yes"
"","Better Devils","Hand Cannon","Kinetic","Strand","Adaptive","Hammer-forged
Smallbore
Corkscrew","Accurized Rounds","Range","Slideshot
Slice
Rangefinder","Magnificent Howl
Explosive Payload
Opening Shot","Accelerated Assault","Slice Handcannon","","A","Crucible / Shaxx Vendor","No"
"","Bottom Dollar","Hand Cannon","Energy","Void","Aggressive","Smallbore
Hammer-forged
Corkscrew","Accurized Rounds","Range
Stability","Slideshot
Rangefinder
Hipfire Grip","Disruption Break
Eye of the Storm
Opening Shot","Gun and Run","Disruption Break 120 HC for team shooting. 108 weapons enables 2h1b Ease-of-use ttk shift.","","B","Gambit / Drifter Vendor","No"
"","Cantata-57","Hand Cannon","Energy","Arc","Adaptive","Smallbore
Hammer-forged
Corkscrew","Accurized Rounds","Range
Stability","Eye of the Storm
Rapid Hit","Vorpal Weapon
Rangefinder
Opening Shot","Suros Synergy","Vorpal Weapon 140 HC in energy slot.","","C","Gunsmith Legacy Focusing","No"
"","Corundum Hammer","Hand Cannon","Kinetic","Strand","Adaptive","Hammer-forged
Smallbore
Corkscrew","Accurized Rounds","Range
Stability","Slideshot
Lone Wolf
Slice","Keep Away
Explosive Payload
Opening Shot","Fleet Footed
Roar of Battle","In-Air Gunplay via Lone Wolf & Fleet Footed. Awkward base recoil direction. Recommend adjusting via barrels & mod for controller input.","","A","Trials of Osiris / Saint-14 Vendor","No"
"","Crimil's Dagger","Hand Cannon","Kinetic","Kinetic","Aggressive","Smallbore
Corkscrew
Polygonal","Accurized Rounds
Steady Rounds","Range
Stability","Slideways
Slideshot
Lone Wolf","Adagio
Precision Instrument
Eye of the Storm","Skulking Wolf
Hakke Breach Armaments","Best-in-Class stat package for Kinetic 120 HCs.
108 weapons for 2h1b ease of use.
Weapons Stat >=108 for 2c w/ adagio
Skulking Wolf
Great perk choices in both columns","","S","Iron Banner / Saladin Vendor","No"
"","Epochal Integration","Hand Cannon","Energy","Solar","Adaptive","Hammer-forged
Smallbore
Corkscrew","Accurized Rounds
Ricochet Rounds","Range
Stability","Slideshot
Keepaway
Opening Shot","Magnificent Howl
Eye of the Storm
Chaos Reshaped","Harmonic Resonance
Nanotech-Tracer Missile","Decent 140 with good perk options.
Harmonic Resonance DOES buff Conditional Finality handling.
Can pair w/ Briar's Contempt or Koraxis's Distress for further buffs to all 3 weapons.
Nano-missile good for cleanup.","","A","Neptune Activities","No"
"","Exalted Truth","Hand Cannon","Energy","Void","Adaptive","Smallbore
Hammer-forged
Corkscrew","Accurized Rounds
","Range
Stability","Slideshot
Keep Away
Lone Wolf
Withering Gaze
Moving Target","Precision Instrument
Opening Shot
Magnificent Howl
Eye of the Storm
Repulsor Brace","Fleet Footed
Suros Synergy
Roar of Battle","In-Air Gunplay 140.
Fleet Footed makes this a semi-lightweight when active.
Withering Gaze can punish players who overextend, as it applies weaken's 20% slow.
Withering + Repulsor for easy overshields.
Low base AA.","","A","Trials of Osiris / Saint-14 Vendor","No"
"","Eyasaluna","Hand Cannon","Kinetic","Stasis","Adaptive","Hammer-forged
Smallbore
Corkscrew","Ricochet Rounds
","Range
Stability","Slideshot
Rangefinder
Zen Moment","Moving Target
Chaos Reshaped
Headstone","Unburied Treasure","Consistency HC.
Res-Blocking via Headstone.
AoE via Firefly + Headstone","","S","Grasp of Avarice Dungeon","No"
"","Fatebringer","Hand Cannon","Kinetic","Kinetic","Adaptive","Smallbore
Hammer-forged
Corkscrew","Accurized Rounds","Range
Stability","Keep Away
Opening Shot
Explosive Payload","Magnificent Howl
Eye of the Storm
Elemental Honing","Timelost Magazine","Increased Super generation via Origin trait.","","A","Vault of Glass Raid","Yes"
"","Finite Impactor","Hand Cannon","Energy","Solar","Adaptive","Hammer-forged
Smallbore
Corkscrew","Ricochet Rounds
High-Caliber Rounds
Armor Piercing Rounds","Range
Stability","Slideways
Elemental Capacitor
Fragile Focus","Magnificent Howl
Iron Reach
Moving Target","Skulking Wolf","Only Skulking Wolf 140 HC.","","A","Iron Banner / Saladin Vendor","No"
"","Igneous Hammer","Hand Cannon","Energy","Solar","Aggressive","Smallbore
Hammer-forged
Corkscrew","Ricochet Rounds
High-Caliber Rounds
Armor Piercing Rounds","Range
Stability","Slideshot
Keep Away
Lone Wolf","Adagio
Precision Instrument
Eye of the Storm","Fleet Footed","Best-in-Class 120 stat package.
Strong origin trait options.
Fleet Footed effectively makes this a Semi-Lightweight 120.
Can easily chain kills with Adagio + 108 weapons.
Weapons Stat >=108 for 2c w/ Adagio, or 2h1b neutral ease of use shift.","","S","Trials of Osiris / Saint-14 Vendor","No"
"","Kindled Orchid","Hand Cannon","Energy","Void","Adaptive","Smallbore
Hammer-forged
Corkscrew","Accurized Rounds","Range
Stability","Kill Clip
Rangefinder
Keep Away","Master of Arms
Magnificent Howl
Eye of the Storm","Forge's Kin","2-tap 140.
TTK shift via Kill Clip + Mag Howl 
OR 
110 weapons + Kill Clip + Master of Arms x1: 0.87 -> 0.43","","S","Arena Ops / Zavala Vendor","No"
"","Loud Lullaby","Hand Cannon","Kinetic","Stasis","Aggressive","Smallbore
Corkscrew
Hammer-forged","Accurized Rounds","Range
Stability","Slideshot
Lone Wolf
Headstone","Precision Instrument
Swashbuckler
Kill Clip","Loss","2-tap 120 via Swashbuckler instead of Adagio. Requires no weapons stat at x4 or x5 to 2-tap.
INSANE Origin trait that provides AA, Stability and Handling passively.","","S","Moon Destination","No"
"","Luna's Howl","Hand Cannon","Energy","Solar","Precision (140 RPM)","Fullbore
Hammer-forged
Smallbore","Richochet Rounds
High-Caliber Rounds
Armor Piercing Rounds","Range
Stability","Slideshot
Keep Away","Magnificent Howl
Chaos Reshaped
Opening Shot","Indomitability","Unique Precision 140 frame. 
Accurate in-air gunplay.
Weaker energy slot alternative to Solemn Remembrance.","","A","Onslaught","No"
"","Modified B-7 Pistol","Hand Cannon","Kinetic","Stasis","Dynamic (180RPM Primary Ammo)","Fullbore
Hammer-forged
Smallbore","Overclocked Heatsink","Range","Delicate Tuning
Keep Away
Firefly","Opening Shot
Eye of the Storm
Headstone
Built To Blast","Accelerated Assault","SHOUTOUT CAMMY CAKES <3 WE STAN OUR KING
Arguably the best 180 RPM Handcannon.
Overclocked Heatsink + Weapons needed.
180 weapons for neutral 3 tap. Frostees/Stasis Surge x1 reduces this to 145(?) weapons stat.
TtK shift via Overclocked + Weapon Stat/Stasis Surge or Bakris Light Shift x1: 1.00->0.67
Synergy w/ Frostees, Mask of Bakris, and Cadmus Ridge Lancecap.","","S","Lawless Frontier","No"
"","Mos Athanor IV","Hand Cannon","Energy","Void","Aggressive","Smallbore
Hammer-forged
Corkscrew","Richochet Rounds
High-Caliber Rounds
Armor Piercing Rounds","Range
Stability","Slideways
Keep Away
Lone Wolf","Adagio
Precision Instrument
Eye of the Storm","Accelerated Assault
Roar of Battle
Wild Card","Res block/prevention via Wild Card.
Weapons Stat >=108 for 2c w/ Adagio and 2h1b ease of use shift.","","S","Monument of Triumph","No"
"","Nation of Beasts","Hand Cannon","Energy","Arc","Adaptive","Smallbore
Hammer-forged
Corkscrew","Accurized Rounds","Range
Stability","Gear Shift","Kill Clip
Golden Tricorn","Explosive Pact","2-tap Handcannon.
Use Bakris and/or Amplified Sources with Gear Shift + Kill Clip or Golden Tricorn.
Can actually 1 tap w/ Gear Shift x5 + Golden Tricorn x2 + Bakris Light Shift x3 + Arc Surge x1 Buffs all stacked.","","S","Last Wish Raid","Yes"
"","Rose","Hand Cannon","Kinetic","Kinetic","Lightweight","Hammer-forged
Smallbore
Corkscrew","Accurized Rounds","Range
Stability","Slideways
Slideshot
Lone Wolf
Keep Away
Moving Target","Rangefinder
Precision Instrument
Explosive Payload
Eye of the Storm
Magnificent Howl
Opening Shot","None (Has access to Grips instead)
Grips are up to user preference.
","""But you are not his equal. None are.""
Lightweight/Movement
Best-in-class complete package of all Lightweight handcannons.
No Origin trait, has access to grips instead for higher stat package.
DO NOT DELETE OLD **Vorpal Weapon** rolls. No longer obtainable.","","S","Comp / Shaxx Vendor","No"
"","Round Robin","Hand Cannon","Kinetic","Strand","Aggressive","Smallbore
Hammerforged
Corkscrew","Ricochet Rounds
Accurized Rounds","Range
Stability","Slideshot
Keep Away","Adagio
Precision Instrument
","Nanotech Tracer Missiles","Passive chip damage via Origin trait can tip gunfights.
Weapons Stat >=108 for 2c w/ Adagio and 2h1b ease of use shift.","","A","Neptune Destination","Yes"
"","Seventh Seraph Officer Revolver","Hand Cannon","Kinetic","Kinetic","Precision","Fullbore
Hammerforged
Smallbore","Accurized Rounds
Seraph Rounds","Range","Lone Wolf
Bewildering Burst","Precision Instrument
All-Star
Adhesive Ordnance","Eyes Up
Rasputin's Arsenal","Enhanced Precision Instrument w/ 170? Weapons enables 3-tap from neutral.
TTK Shift via PI + 170? weapons, All-Star, Adhesive Ordnance x1, or Frenzy: 1.00->0.67
Good origin trait options.
Column 1 only has Lone Wolf or Bewildering Burst.","","B","Cosmodrome Destination","No"
"","Sightline Survey","Hand Cannon","Energy","Arc","Precision","Fullbore
Hammerforged
Smallbore","Accurized Rounds","Range","Keep Away
Fragile Focus","Precision Instrument","Radiolaria Transposer","2nd best 180 RPM Handcannon, especially on Hunter.
Enhanced Precision Instrument w/ 170? Weapons enables 3-tap from neutral.
TTK shift via PI + 170? weapons, Kill Clip, or Desperate Measures x1: 1.00->0.67
Synergizes w/ Mask of Bakris Light Shift to enable 3-tap from neutral on Hunter.","","S","Encore Exotic Mission 
Classic Collections Modifier: ON","Yes"
"","Solemn Lie","Hand Cannon","Energy","Arc","Lightweight","Hammer-forged
Smallbore
Corkscrew","Ricochet Rounds
High-Caliber Rounds
Armor Piercing Rounds","Range
Stability","Slideshot
Rangefinder
Keep Away","Opening Shot
Lone Wolf
Eye of the Storm","None (Has access to Grips instead)
Grips are up to user preference.","""Flawless Cowboy.""
Lightweight/Movement
No Origin trait, has access to grips instead for higher stat package.","","S","Comp / Shaxx Vendor","No"
"","Solemn Remembrance","Hand Cannon","Kinetic","Stasis","Precision (140 RPM)","Hammer-forged
Fullbore
Smallbore","Accurized Rounds","Range
Stability
Handling","Slideshot
Lone Wolf
Moving Target
Zen Moment
Headstone","Keep Away
Precision Instrument
Eye of the Storm
Magnificent Howl
Opening Shot
Firefly","None (Has access to Grips instead)
Grips are up to user preference.","Unique Precision 140 frame. 
Accurate in-air gunplay.
EXTREME/MAX range.
No Origin trait, has access to grips instead for higher stat package.","","S","Comp / Shaxx Vendor","No"
"","Spare Rations","Hand Cannon","Kinetic","Stasis","Lightweight","Hammer-forged
Smallbore
Corkscrew","Accurized Rounds","Range
Stability","Slideshot
Keep Away
Moving Target","Explosive Payload
Opening Shot
Eye of the Storm","Gun and Run","Lightweight/Movement
Stasis alternative to Rose, but weaker overall perk selection. 
Best-in-class BASE stat package.","","S","Gambit / Drifter Vendor","No"
"","Triple Laureate","Hand Cannon","Kinetic","Stasis","Spread Shot","Corkscrew
Barrelshroud
Smallbore","Accurized","Range
Handling","Slideshot
Rangefinder","Trench Barrel
Master of Arms
Opening Shot","Classy Contender
Hakke Breach Armaments","Primary ammo ""sawed off"" shotgun frame.
Trench Barrel & Master of Arms for ease of use.
Opening Shot for distance.
Lacks neutral handling perk.","","A","Tenet of Bravery","No"
"","True Prophecy","Hand Cannon","Energy","Arc","Aggressive","Smallbore
Corkscrew
Hammer-forged","Accurized Rounds","Range
Stability","Rangefinder
Lonewolf
Opening Shot","Precision Instrument
Swashbuckler
Adrenaline Junkie","Fail-deadly
Nadir Focus","Ability build 120. 
Swash/Adrenaline pairs.","","B","Nessus Destination","No"
"","Trust","Hand Cannon","Energy","Solar","Precision","Fullbore
Hammerforged
Smallbore","Accurized Rounds","Range","Slideshot
Keep Away
Opening Shot
Firefly","Precision Instrument
Magnificent Howl
Dragonfly","Gun and Run","Enhanced Precision Instrument w/ 170? Weapons enables 3-tap from neutral.
TTK Shift via PI + 170? weapons, Mag Howl x1, or Frenzy: 1.00->0.67","","A","Gambit / Drifter Vendor","No"
"","Uncivil Discourse","Hand Cannon","Energy","Arc","Dynamic Heat (180 RPM Special Ammo)","Arrowhead
Hammer-forged
Smallbore","Overclocked Heatsink","Range
Stability
Handling","Delicate Tuning
Lone Wolf
Keep Away","Precision Instrument
Desperate Measures
Opening Shot","Accelerated Assault
Air-Cooled Core","SPECIAL AMMO HANDCANNON
Functionally slower RPM Legendary Forerunner equivalent.
Exceptional Range -- 48.0M at 100 Range.
Overclocked + Precision Instrument OR DM x1 for TtK shift = 1.00->0.67","","S","Lawless Frontier","No"
"","Waking Vigil","Hand Cannon","Energy","Arc","Lightweight","Smallbore
Corkscrew
Hammer-forged","Ricochet Rounds
High-Caliber Rounds
Armor Piercing Rounds","Range
Stability","Rangefinder
Keep Away
Perpetual Motion","Opening Shot
Eye of the Storm
Gear Shift","Advanced Reflexes","Lightweight/Movement
Weakest of the Lightweight Hand Cannon options.
No Slideshot or Slideways.","","A","Dreaming City Destination","No"
"","Word of Crota","Hand Cannon","Energy","Void","Precision","Hammer-forged
Fullbore
Smallbore","Accurized Rounds","Range
","Rangefinder
Rapid Hit
Killing Wind","Precision Instrument
Magnificent Howl
Master of Arms
Sword Logic
Frenzy
Rampage","Cursed Thrall","Enhanced Precision Instrument w/ 170? Weapons enables 3-tap from neutral.
TTK Shift via PI + 170? weapons, Mag Howl x1, Rampage x1, Focused Fury, Sword Logic, Master of Arms, or Frenzy: 1.00->0.67","","A","Crota's End Raid","Yes"
"","Phoneutria Fera","Hand Cannon","Energy","Solar","Spread Shot","Hammer-forged
Fluted Barrel
Corkscrew","Accurized","Range
Handling","Threat Detector
Slideshot","Swashbuckler
One-Two Punch
Surrounded
Frenzy","Tenacity
Hakke Breach Armaments","Primary ammo ""sawed off"" shotgun frame.
Best-in-class stat package and origin in Energy slot.
Swash & Surrounded for ease of use.
One-Two Punch vs. Supers
Tenacity adds 0.5% damage, 5 Handling, and 5 stability per stack.
Total of +10% dmg, 50 handling, 50 stability.","","S","Tenet of Bravery","No"
"","Sarpedon-D","Hand Cannon","Energy","Arc","Spread Shot","Corkscrew
Barrelshroud
Smallbore","Accurized","Range
Handling","To The Pain","Trench Barrel
One-Two Punch
Desperate Measures","Vanguard Determination
Hakke Breach Armaments
Problem Solver","Primary ammo ""sawed off"" shotgun frame.
Trench Barrel & Desperate Measures for ease of use.
Trench/1-2Punch vs. Supers
Weak Column 1 perks.","","B","Tenet of Bravery","No"
"","Ironwood 03","Hand Cannon","Energy","Void","Spread Shot","Corkscrew
Barrelshroud
Smallbore","Accurized","Range
Handling","Killing Wind
Repulsor Brace
Dimensional Shift","Threat Detector
Quickdraw
Master of Arms
One-Two Punch
Surrounded
Destabilizing Rounds","Carrion Munitions","Primary ammo ""sawed off"" shotgun frame.
Master of Arms or Surrounded for ease of use.
Quickdraw or Threat Detector for handling.
Potential void build synergy but otherwise weak column 1 perks.
","","A","Distortions Events","No"
"","D.F.A. (Monument of Triumph variant)","Hand Cannon","Kinetic","Kinetic","Adaptive","Hammer-forged
Smallbore
Corkscrew","Accurized
Steady","Range
Stability","Keep Away
Explosive Payload
Adhesive Ordnance","Opening Shot
Kill Clip
Attrition Orbs","Vanguard Determination
Problem Solver","Adhesive Ordnance can enable a 2 tap.
Explosive Payload + Attrititon Orbs can actually make a substantial amount of orbs per game which can activate perks, mods, or supers more frequently. Surprisingly useful.","","A","Vanguard Pinnacle Ops / Zavala Vendor","No"
"","The Palindrome (Monument of Triumph Variant)","Hand Cannon","Energy","Arc","Adaptive","Hammer-forged
Smallbore
Corkscrew","Accurized
Steady","Range
Stability","Lone Wolf
Explosive Payload","Opening Shot
Magnificent Howl
Master of Arms","Wild Card
Vanguard Determination
Problem Solver","Very well rounded stats.
Wild Card for res block/AoE.
Competitive perk options in both slots but lacks meaningful easy-access TtK shifts.
Lone Wolf is unique to this variant and is the best column 1 available across all 3 versions.
Primarily useful for Explosive Payload + Wild Card.","","A","Vanguard Pinnacle Ops / Zavala Vendor","No"
"","Service Revolver","Hand Cannon","Kinetic","Kinetic","Precision","Fullbore
Hammer-forged
Smallbore","Accurized","Range
Stability","Rangefinder
Moving Target","Mega Kill Clip","Nadir Focus
Vanguard Determination","One of two primary weapons w/ access to Mega Kill Clip.
TtK shift 1.00->0.67 while active. Spam reload after kill to continually refresh timer.","","A","Vanguard Fireteam Ops / Zavala Vendor","No"
"","Sixth Sense","Hand Cannon","Kinetic","Strand","Aggressive","Smallbore
Corkscrew
Polygonal","Accurized
Steady","Range
Stability","Explosive Payload
Keep Away
Built To Blast","Opening Shot
Eye of the Storm
Meganeura","Wild Card
Hammer, Meet Nail","Lacks Adagio or Precision Instrument, the two strongest perks for a 120 HC.
Triple AoE perks can cause disruption in team shot environments.
Res prevention/AoE via Wild Card.","","C","Tenet of Bravery","No"
"","Midnight Coup (Monument of Triumph Variant)","Hand Cannon","Kinetic","Kinetic","Adaptive","Hammer-forged
Smallbore
Corkscrew","Accurized
Steady","Range
Stability","Moving Target
Explosive Payload
Firefly","Zen Moment
Kinetic Tremors
Opening Shot","Indomitable","Decent consistency option for handcannons.
Exceptionally high base AA, with the option to have neutral 100 w/ Moving Target.
Explosive Payload + Kinetic Tremors can be very punishing against unsuspecting targets as it activates on 4 hits.","","A","Onslaught","No"
"","Malediction (Monument of Triumph Variant)","Hand Cannon","Kinetic","Kinetic","Aggressive","Smallbore
Corkscrew
Polygonal","Accurized
Steady","Range
Stability","Keep Away
Moving Target
Discord","Tap The Trigger
Eye of the Storm
Kill Clip","Wild Card
Vanguard Determination","Uniquely has Tap The Trigger on a 120 HC.
Lacks slide perks. Wild Card for res prevention/AoE.
Kill Clip + 145 weapons ttk shift: 1.00 -> 0.50","","B","Vanguard Solo Ops / Zavala Vendor","No"
"","Unloved (Monument of Triumph Variant)","Hand Cannon","Kinetic","Strand","Heavy Burst","Smallbore
Corkscrew
Polygonal","Ricochet
High-Caliber
Armor Piercing","Range
Stability","Rapid Hit
High-Impact Reserves
Dragonfly","Elemental Honing
Paracausal Affinity
Frenzy","Subjugation","2-round burst handcannon.
Ele Honing TtK shift from neutral.
Ele Hone x2, Rampage x1, Paracausal Affinity, or Frenzy = 0.93 -> 0.53","","B","Sundered Doctrine Dungeon","No"
"","Warden's Law","Hand Cannon","Kinetic","Kinetic","Heavy Burst","Smallbore
Corkscrew
Polygonal","Accurized
Steady","Range
Stability","Moving Target
Perpetual Motion
To The Pain","Kill Clip
Vorpal Weapon
Rampage","Vanguard Determination
Problem Solver","2-round burst handcannon.
Surprisingly effective Vorpal Weapon in Kinetic Slot, able to 2 burst most supers.
Lackluster column 1 perks, no neutral TTK shift perks in column 2.
Kill Clip, Rampage x1, Adrenaline Junkie x2, or Frenzy = 0.93 -> 0.53","","B","Vanguard / Zavala Vendor","No"
"","Maahes HC4","Hand Cannon","Energy","Void","Heavy Burst","Smallbore
Corkscrew
Polygonal","Accurized
Steady","Range
Stability","Rapid Hit
Perpetual Motion","Disruption Break
Golden Tricorn
Swashbuckler","Omolon Fluid Dynamics","2-round burst handcannon.
Lackluster column 1 perks, no neutral TTK shift perks in column 2.
Golden Tricorn x1, Swashbuckler x2, or Frenzy = 0.93 -> 0.53
Disruption Break for team shot gameplay.","","C","Gunsmith Vendor","No"
"","Bold Endings","Hand Cannon","Kinetic","Stasis","Heavy Burst","Smallbore
Corkscrew
Polygonal","Accurized
Steady","Range
Stability","Opening Shot
Headstone
Rapid Hit
Strategist","Golden Tricorn
Desperate Measures
Moving Target
Eye of the Storm
Dragonfly
Frenzy","Dealer's Choice","Only craftable 2-round burst handcannon.
No neutral TTK shift perks, but can use Mask of Bakris to achieve it.
Headstone res block.
Mask of Bakris Light Shift x1, Golden Tricorn x1, Desp Measures x1, Collective Action, or Frenzy = 0.93 -> 0.53
INSANE Origin provides extra Super gen, bonus further increased when paired w/ other Dealer's Choice weapons.
This is extremely pertinent as this is a PRIMARY weapon, which means free bonus super gen in the backpack when paired w/ a Dealer's Choice Special/Heavy.
Enhanced Dealer's Choice x1 = +0.6%(?), x2 = +2%(?), x3 = +5%(?)","","A","Pale Heart Destination","Yes"
